Flamengo; 6; Corinthians; 4
Vitória; 0; Fortaleza; 4
Sport; 1; Fortaleza; 3
Ceará; 3; Fortaleza; 0
Cruzeiro; 2; Fortaleza; 4
Santos; 2; Bahia; 6
Vasco da Gama; 5; Bahia; 1
Mirassol; 2; Bahia; 4
RB Bragantino; 0; Bahia; 1
Grêmio; 3; Bahia; 4
Juventude; 2; Bahia; 1
Vitória; 5; Bahia; 6
Sport; 1; Bahia; 1
Ceará; 1; Bahia; 4
Cruzeiro; 2; Bahia; 2
Vasco da Gama; 6; Santos; 4
Mirassol; 5; Santos; 3
RB Bragantino; 2; Santos; 0
Grêmio; 4; Santos; 6
Juventude; 4; Santos; 0
Vitória; 4; Santos; 5
Sport; 0; Santos; 4
Ceará; 6; Santos; 3
Cruzeiro; 3; Santos; 6
Mirassol; 6; Vasco da Gama; 3
RB Bragantino; 6; Vasco da Gama; 5
Grêmio; 0; Vasco da Gama; 1
Juventude; 5; Vasco da Gama; 0
Vitória; 6; Vasco da Gama; 0
Sport; 1; Vasco da Gama; 6
Ceará; 1; Vasco da Gama; 6
Cruzeiro; 2; Vasco da Gama; 3
RB Bragantino; 3; Mirassol; 5
Grêmio; 1; Mirassol; 3
Juventude; 6; Mirassol; 3
Vitória; 4; Mirassol; 4
Sport; 1; Mirassol; 6
Ceará; 3; Mirassol; 1
Cruzeiro; 1; Mirassol; 2
Grêmio; 4; RB Bragantino; 5
Juventude; 6; RB Bragantino; 0
Vitória; 2; RB Bragantino; 2
Sport; 6; RB Bragantino; 1
Ceará; 1; RB Bragantino; 3
Cruzeiro; 4; RB Bragantino; 5
Juventude; 3; Grêmio; 0
Vitória; 6; Grêmio; 6
Sport; 5; Grêmio; 1
Ceará; 6; Grêmio; 0
Cruzeiro; 3; Grêmio; 0
Vitória; 6; Juventude; 1
Sport; 4; Juventude; 3
Ceará; 4; Juventude; 3
Cruzeiro; 0; Juventude; 0
Sport; 5; Vitória; 0
Ceará; 5; Vitória; 3
Cruzeiro; 4; Vitória; 0
Ceará; 2; Sport; 4
Cruzeiro; 3; Sport; 3
Cruzeiro; 0; Ceará; 1
